vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,parent_guids,ratings
4.3.3_c,outcome,  Thảo luận về giá trị và chi phí trong vòng đời (thiết kế__COMMA__ thực hiện__COMMA__ vận hành__COMMA__ cơ hội vv) {aE1},,4.3.3_c,,,,4.3.3,
4.3.3_d,outcome,  Tiến hành cân đối giữa các mục tiêu__COMMA__ chức năng__COMMA__ nguyên lý và cấu trúc khác nhau__COMMA__ và lặp đi lặp lại cho đến khi có được kết quả thống nhất cuối cùng {CP},,4.3.3_d,,,,4.3.3,
4.3.3_e,outcome,  Xác định các kế hoạch để quản lý giao diện {cS5},,4.3.3_e,,,,4.3.3,
4.3.4,group,   Quản lý phát triển dự án (32),,4.3.4,,,,4.3,
4.3.4_a,outcome,  Tiến hành kiểm soát dự án đảm bảo chi phí__COMMA__ hiệu suất__COMMA__ và thời biểu {CP},,4.3.4_a,,,,4.3.4,
4.3.4_b,outcome,  Thảo luận về các điểm chuyển tiếp phù hợp và xem xét lại {aS3},,4.3.4_b,,,,4.3.4,
4.3.4_c,outcome,  Thảo luận về cấu hình quản lý và tài liệu {CP},,4.3.4_c,,,,4.3.4,
4.3.4_d,outcome,  Diễn giải chủ quan về hiệu suất so với mức tiêu chuẩn {bE2},,4.3.4_d,,,,4.3.4,
4.3.4_e,outcome,  Tiến hành công nhận giá trị đạt được {CP},,4.3.4_e,,,,4.3.4,
4.3.4_f,outcome,  Thảo luận về ước lượng và phân bổ các nguồn lực {CP},,4.3.4_f,,,,4.3.4,
4.3.4_g,outcome,  Xác định các rủi ro và các lựa chọn thay thế {cE1},,4.3.4_g,,,,4.3.4,
4.3.4_h,outcome,  Thảo luận những cải tiến có thể cho quá trình phát triển {aS2},,4.3.4_h,,,,4.3.4,
4.4,group,  THIẾT KẾ (35),,4.4,,,,4,
4.4.1,group,   Quá trình thiết kế (35),,4.4.1,,,,4.4,
4.4.1_a,outcome,  Xác định các yêu cầu cho mỗi thành phần hay bộ phận được rút ra từ các mục tiêu và yêu cầu ở mức độ hệ thống {cS2},,4.4.1_a,,,,4.4.1,
4.4.1_b,outcome,  Trình bày các lựa chọn thay thế trong thiết kế {aE1},,4.4.1_b,,,,4.4.1,
4.4.1_c,outcome,  Định dạng thiết kế ban đầu {cS2},,4.4.1_c,,,,4.4.1,
4.4.1_d,outcome,  Trình bày về vòng đời trong thiết kế {bE1},,4.4.1_d,,,,4.4.1,
4.4.1_e,outcome,  Trình bày các mẫu thử và vật phẩm thí nghiệm trong quá trình phát triển thiết kế {aS4},,4.4.1_e,,,,4.4.1,
4.4.1_f,outcome,  Tiến hành tối ưu hóa phù hợp với những hạn chế {CP},,4.4.1_f,,,,4.4.1,
4.4.1_g,outcome,  Thực hiện lặp đi lặp lại cho đến khi đạt kết quả {CP},,4.4.1_g,,,,4.4.1,
4.4.1_h,outcome,  Chuẩn bị thiết kế hoàn chỉnh {bS5},,4.4.1_h,,,,4.4.1,
4.4.1_i,outcome,  Thực hiện đáp ứng yêu cầu thay đổi {CP},,4.4.1_i,,,,4.4.1,
4.4.2,group,   Các giai đoạn của quá trình thiết kế và phương pháp tiếp cận (35),,4.4.2,,,,4.4,
4.4.2_a,outcome,  Trình bày hoạt động trong các giai đoạn của thiết kế hệ thống (ý tưởng__COMMA__ thiết kế sơ bộ__COMMA__ và chi tiết) {aS2},,4.4.2_a,,,,4.4.2,
4.4.2_b,outcome,  Trình bày các mô hình quá trình phù hợp cho các đề án phát triển cụ thể (mô hình thác nước__COMMA__ mô hình đường xoắn ốc__COMMA__ mô hình đồng thời) {aS1},,4.4.2_b,,,,4.4.2,
4.4.2_c,outcome,  Thảo luận các quá trình cho các sản phẩm đơn lẻ__COMMA__ sản phẩm nền__COMMA__ hay sản phẩm chỉnh sửa {aS3},,4.4.2_c,,,,4.4.2,
4.4.3,group,   Vận dụng kiến thức trong thiết kế (35),,4.4.3,,,,4.4,
4.4.3_a,outcome,  Sử dụng kiến thức kỹ thuật và khoa học {cS4},,4.4.3_a,,,,4.4.3,
4.4.3_b,outcome,  Tiến hành cách thức tư duy (giải quyết vấn đề__COMMA__ điều tra__COMMA__ tư duy tầm hệ thống__COMMA__ sáng tạo và suy xét) {CP},,4.4.3_b,,,,4.4.3,
4.4.3_c,outcome,  Thảo luận công việc ưu tiên trong lĩnh vực__COMMA__ sự tiêu chuẩn hóa và tái sử dụng các thiết kế (bao gồm kỹ thuật ngược và tái chế tạo__COMMA__ tái thiết kế) {aS4},,4.4.3_c,,,,4.4.3,
4.4.3_d,outcome,  Tiến hành thu thập kiến thức thiết kế {CP},,4.4.3_d,,,,4.4.3,
4.4.4,group,   Thiết kế chuyên ngành (35),,4.4.4,,,,4.4,
4.4.4_a,outcome,  Lựa chọn các kỹ thuật__COMMA__ dụng cụ__COMMA__ và quy trình phù hợp {cS2},,4.4.4_a,,,,4.4.4,
4.4.4_b,outcome,  Thực hiện hiệu chỉnh và phê chuẩn dụng cụ thiết kế {aS3},,4.4.4_b,,,,4.4.4,
4.4.4_c,outcome,  Tiến hành phân tích định lượng các lựa chọn thay thế {CP},,4.4.4_c,,,,4.4.4,
4.4.4_d,outcome,  Tiến hành mô hình hóa__COMMA__ mô phỏng__COMMA__ và kiểm tra {CP},,4.4.4_d,,,,4.4.4,
4.4.4_e,outcome,  Thảo luận cải tiến phân tích thiết kế {CP},,4.4.4_e,,,,4.4.4,
4.4.5,group,   Thiết kế mang tính đa ngành (35),,4.4.5,,,,4.4,
4.4.5_a,outcome,  Phân tích sự tương tác giữa các chuyên ngành {cE1},,4.4.5_a,,,,4.4.5,
4.4.5_b,outcome,  Xác định các quy ước và giả định khác nhau {cE2},,4.4.5_b,,,,4.4.5,
4.4.5_c,outcome,  So sánh khác biệt về tính hoàn hảo của các mô hình chuyên ngành {aE2},,4.4.5_c,,,,4.4.5,
4.4.5_d,outcome,  Thảo luận các môi trường thiết kế đa ngành {aS4},,4.4.5_d,,,,4.4.5,
4.4.5_e,outcome,  Thảo luận về thiết kế đa ngành {CP},,4.4.5_e,,,,4.4.5,
4.4.6,group,   Thiết kế đáp ứng bền vững__COMMA__ an toàn__COMMA__ thẩm mỹ__COMMA__ vận hành và các mục tiêu khác (35),,4.4.6,,,,4.4,
4.4.6_a,outcome,  Thực hiện thiết kế đáp ứng {CP},,4.4.6_a,,,,4.4.6,
4.4.6_b,outcome,   Tính năng__COMMA__ chất lượng__COMMA__ sự vững chắc__COMMA__ chi phí và giá trị của vòng đời,,4.4.6_b,,,,4.4.6,
4.4.6_c,outcome,   Bền vững,,4.4.6_c,,,,4.4.6,
4.4.6_d,outcome,   An toàn và bảo mật,,4.4.6_d,,,,4.4.6,
4.4.6_e,outcome,   Thẩm mỹ,,4.4.6_e,,,,4.4.6,
4.4.6_f,outcome,   Yếu tố con người__COMMA__ tương tác và giám sát,,4.4.6_f,,,,4.4.6,
4.4.6_g,outcome,   Thực hiện__COMMA__ phê chuẩn__COMMA__ kiểm tra__COMMA__ và sự bền vững đối với môi trường,,4.4.6_g,,,,4.4.6,
4.4.6_h,outcome,   Sự vận hành,,4.4.6_h,,,,4.4.6,
4.4.6_i,outcome,   Khả năng duy trì__COMMA__ tính tin cậy__COMMA__ và độ tin cậy,,4.4.6_i,,,,4.4.6,
4.4.6_j,outcome,   Tiến triển__COMMA__ cải tiến,,4.4.6_j,,,,4.4.6,
4.4.6_k,outcome,   Đào thải__COMMA__ tái sử dụng và tái chế,,4.4.6_k,,,,4.4.6,
4.5,group,  THỰC HIỆN (33),,4.5,,,,4,
4.5.1,group,   Thiết kế quá trình thực hiện bền vững (33),,4.5.1,,,,4.5,
4.5.1_a,outcome,  Lựa chọn các mục tiêu và đo lường tính năng__COMMA__ chi phí__COMMA__ và chất lượng của việc thực hiện {cS2},,4.5.1_a,,,,4.5.1,
4.5.1_b,outcome,  Định hình thiết kế hệ thống {cS2},,4.5.1_b,,,,4.5.1,
4.5.1_c,outcome,   Phân bổ nhiệm vụ và bố trí đơn vịbộ phận,,4.5.1_c,,,,4.5.1,
4.5.1_d,outcome,   Chuyền làm việc,,4.5.1_d,,,,4.5.1,
4.5.1_e,outcome,   Xem xét đối với người sử dụngngười vận hành,,4.5.1_e,,,,4.5.1,
4.5.1_f,outcome,  Diễn giải chủ quan về tính bền vững {bE3},,4.5.1_f,,,,4.5.1,
4.5.2,group,   Quá trình sản xuất phần cứng (33),,4.5.2,,,,4.5,
4.5.2_a,outcome,  Chuẩn bị chế tạo các bộ phận {aS5},,4.5.2_a,,,,4.5.2,
4.5.2_b,outcome,  Chuẩn bị lắp ráp các bộ phận thành những thành phần lớn hơn {aS5},,4.5.2_b,,,,4.5.2,
4.5.2_c,outcome,  Thảo luận về dung sai__COMMA__ biên độ biến đổi__COMMA__ đặc tính chính yếu__COMMA__ quy trình kiểm soát dùng thống kê {aS4},,4.5.2_c,,,,4.5.2,
4.5.3,group,   Quá trình thực hiện phần mềm (33),,4.5.3,,,,4.5,
4.5.3_a,outcome,  Tiến hành phân nhỏ các thành phần ở mức độ cao thành các môđun thiết kế (bao gồm thuật toán__COMMA__ và cấu trúc dữ liệu) {CP},,4.5.3_a,,,,4.5.3,
4.5.3_b,outcome,  Thảo luận về thuật toán (cấu trúc dữ liệu__COMMA__ dòng điều khiển__COMMA__ dòng dữ liệu) {aS1},,4.5.3_b,,,,4.5.3,
4.5.3_c,outcome,  Thảo luận ngôn ngữ lập trình và mô hìnhkiểu mẫu {aS1},,4.5.3_c,,,,4.5.3,
4.5.3_d,outcome,  Thực hiện thiết kế ở cấp độ thấp (coding) {aS3},,4.5.3_d,,,,4.5.3,
4.5.3_e,outcome,  Thực hiện xây dựng hệ thống {aS3},,4.5.3_e,,,,4.5.3,
4.5.4,group,   Tích hợp phần mềm (33),,4.5.4,,,,4.5,
4.5.4_a,outcome,  Chuẩn bị tích hợp phần mềm vào phần cứng điện tử (quy mô của bộ xử lý__COMMA__ truyền thông__COMMA__ vv) {aS5},,4.5.4_a,,,,4.5.4,
4.5.4_b,outcome,  Chuẩn bị tích hợp phần mềm với bộ cảm biến__COMMA__ bộ kích hoạt__COMMA__ và các phần cứng cơ khí {aS5},,4.5.4_b,,,,4.5.4,
4.5.4_c,outcome,  Thảo luận chức năng và độ an toàn của phần cứng phần mềm {aE1},,4.5.4_c,,,,4.5.4,
4.5.5,group,   Thử nghiệm__COMMA__ kiểm tra__COMMA__ phê chuẩn__COMMA__ chứng nhận (33),,4.5.5,,,,4.5,
4.5.5_a,outcome,  Tiến hành các thủ tục kiểm tra và phân tích (phần cứng so với phần mềm__COMMA__ mức độ chấp nhận được so với mức độ có chất lượng) {aS3},,4.5.5_a,,,,4.5.5,
4.5.5_b,outcome,  Thực hiện kiểm tra tính năng so với yêu cầu của hệ thống {aS3},,4.5.5_b,,,,4.5.5,
4.5.5_c,outcome,  Thảo luận về hiệu lực của tính năng so với yêu cầu khách hàng {aS3},,4.5.5_c,,,,4.5.5,
4.5.5_d,outcome,  Diễn giải về các chứng nhận đối với các tiêu chuẩn {aS3},,4.5.5_d,,,,4.5.5,
4.5.6,group,   Quản lý quá trình thực hiện (33),,4.5.6,,,,4.5,
4.5.6_a,outcome,  Thảo luận tổ chức và cơ cấu cho việc thực hiện {aS2},,4.5.6_a,,,,4.5.6,
4.5.6_b,outcome,  Trình bày nguồn cung cấp__COMMA__ hợp tác {aS2},,4.5.6_b,,,,4.5.6,
4.5.6_c,outcome,  Trình bày chuỗi cung ứng và vận trù {aS2},,4.5.6_c,,,,4.5.6,
4.5.6_d,outcome,  Định hình kiểm soát chi phí trong thực hiện__COMMA__ thực hiện và thời gian biểu {cS3},,4.5.6_d,,,,4.5.6,
4.5.6_e,outcome,  Diễn giải chủ quan về đảm bảo chất lượng {bS4},,4.5.6_e,,,,4.5.6,
4.5.6_f,outcome,  Diễn giải chủ quan về sức khỏe con người và an toàn {bS4},,4.5.6_f,,,,4.5.6,
4.5.6_g,outcome,  Diễn giải chủ quan về môi trường bảo mật {bS4},,4.5.6_g,,,,4.5.6,
4.5.6_h,outcome,  Xác định các cải tiến quá trình triển khai có thể thực hiện được {cS2},,4.5.6_h,,,,4.5.6,
4.6,group,  VẬN HÀNH (33),,4.6,,,,4,
4.6.1,group,   Thiết kế và tối ưu hóa vận hành bền vững và an toàn (33),,4.6.1,,,,4.6,
4.6.1_a,outcome,  Lựa chọn các mục tiêu và đo lường tính năng hoạt động__COMMA__ chi phí__COMMA__ và giá trị của vận hành {bS2},,4.6.1_a,,,,4.6.1,
4.6.1_b,outcome,  Diễn giải chủ quan về vận hành bền vững {bE3},,4.6.1_b,,,,4.6.1,
4.6.1_c,outcome,  Diễn giải chủ quan về vận hành an toàn và bảo mật {bE3},,4.6.1_c,,,,4.6.1,
4.6.1_d,outcome,  Diễn giải về cấu trúc và phát triển quy trình vận hành {aS2},,4.6.1_d,,,,4.6.1,
4.6.1_e,outcome,  Tiến hành phân tích và mô hình hóa vận hành (và sứ mạng) {CP},,4.6.1_e,,,,4.6.1,
4.6.2,group,   Huấn luyện và vận hành (33),,4.6.2,,,,4.6,
4.6.2_a,outcome,  Tiến hành huấn luyện để vận hành chuyên nghiệp {CP},,4.6.2_a,,,,4.6.2,
4.6.2_b,outcome,   Mô phỏng,,4.6.2_b,,,,4.6.2,
4.6.2_c,outcome,   Hướng dẫn và chương trình,,4.6.2_c,,,,4.6.2,
4.6.2_d,outcome,   Các thủ tục,,4.6.2_d,,,,4.6.2,
4.6.2_e,outcome,  Thảo luận về đào tạo để khách hàng có thể vận hành {aS3},,4.6.2_e,,,,4.6.2,
4.6.2_f,outcome,  Thảo luận các quy trình vận hành {aS3},,4.6.2_f,,,,4.6.2,
4.6.2_g,outcome,  Xác định sự tương tác của quy trình vận hành {cE1},,4.6.2_g,,,,4.6.2,
4.6.3,group,   Hỗ trợ vòng đời của hệ thống (33),,4.6.3,,,,4.6,
4.6.3_a,outcome,  Trình bày về sự bảo trì và hậu cần {aS5},,4.6.3_a,,,,4.6.3,
4.6.3_b,outcome,  Trình bày các tính năng và độ tin cậy của vòng đời {aE1},,4.6.3_b,,,,4.6.3,
4.6.3_c,outcome,  Trình bày giá trị và các chi phí của vòng đời {aE1},,4.6.3_c,,,,4.6.3,
4.6.3_d,outcome,  Tiến hành thu nhận sự phản hồi để tạo điều kiện cho việc cải tiến hệ thống {CP},,4.6.3_d,,,,4.6.3,
4.6.4,group,   Cải tiến và tiến triển của hệ thống (33),,4.6.4,,,,4.6,
4.6.4_a,outcome,  Thảo luận về sự cải tiến sản phẩm được hoạch định trước {aS5},,4.6.4_a,,,,4.6.4,
4.6.4_b,outcome,  Xác định các cải tiến dựa trên các nhu cầu nhận thấy được từ vận hành {cS5},,4.6.4_b,,,,4.6.4,
4.6.4_c,outcome,  Xác định sự tiến triển trong việc nâng cấp hệ thống {cS5},,4.6.4_c,,,,4.6.4,
4.6.4_d,outcome,  Xác định các cải tiến giải pháp để xử lý các trường hợp bất ngờ xảy ra từ vận hành {cS4},,4.6.4_d,,,,4.6.4,
4.6.5,group,   Những vấn đề về đào thải và cuối đời (33),,4.6.5,,,,4.6,
4.6.5_a,outcome,  Phân tích các vấn đề cuối đời {bE1},,4.6.5_a,,,,4.6.5,
4.6.5_b,outcome,  Xác định các lựa chọn để đào thải {cS5},,4.6.5_b,,,,4.6.5,
4.6.5_c,outcome,  Trình bày chủ quan về giá trị còn lại vào cuối đời {bE1},,4.6.5_c,,,,4.6.5,
4.6.5_d,outcome,  Thảo luận__COMMA__ cân nhắc về môi trường cho việc đào thải {cE2},,4.6.5_d,,,,4.6.5,
4.6.6,group,   Quản lý vận hành (33),,4.6.6,,,,4.6,
4.6.6_a,outcome,  Giải thích tổ chức và cơ cấu cho việc vận hành {aS2},,4.6.6_a,,,,4.6.6,
4.6.6_b,outcome,  Xác định các hợp tác và liên minh {cS2},,4.6.6_b,,,,4.6.6,
4.6.6_c,outcome,  Định hình kiểm soát chi phí vận hành__COMMA__ tính năng__COMMA__ và thời gian biểu {cS3},,4.6.6_c,,,,4.6.6,
4.6.6_d,outcome,  Diễn giải chủ quan về đảm bảo chất lượng và an toàn {bS4},,4.6.6_d,,,,4.6.6,
4.6.6_e,outcome,  Trình bày các cải tiến quá trình vận hành có thể khả thi {aS2},,4.6.6_e,,,,4.6.6,
4.6.6_f,outcome,  Trình bày về quản lý vòng đời {aS3},,4.6.6_f,,,,4.6.6,
4.6.6_g,outcome,  Thảo luận về sức khỏe con người và an toàn {aS3},,4.6.6_g,,,,4.6.6,
4.6.6_h,outcome,  Thảo luận về môi trường bảo mật {aS3},,4.6.6_h,,,,4.6.6,
